Event Category,Gender,medal_type,country_name,country_code,athlete_full_name,Scored Unit,Scoring Type,game_season,game_year,game_location,game_name,Age,Year of Birth
Men's Individual,Man,SILVER,Egypt,EG,Ahmed ELGENDY,1477,POINTS,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Men's Greco-Roman 77kg,Man,SILVER,Kyrgyzstan,KG,Akzhol MAKHMUDOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,25,1999
Men's Combined,Man,GOLD,Spain,ES,Alberto GINES LOPEZ,28,POINTS,Summer,2020,Japan,Tokyo 2020,22,2002
Men's 15km + 15km Skiathlon,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,16:10.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,GOLD,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,SILVER,ROC,ROC,Alexander BOLSHUNOV,11:33.3,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's Sprint Free,Man,BRONZE,ROC,ROC,Alexander BOLSHUNOV,NULL,NULL,Winter,2022,China,Beijing 2022,28,1996
Men's Heavy (81-91kg),Man,BRONZE,Brazil,BR,Abner TEIXEIRA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 100m Breaststroke,Man,GOLD,Great Britain,GB,Adam PEATY,57056,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 100m Breaststroke,Man,GOLD,Great Britain,GB,Adam PEATY,57056,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's Freeski Slopestyle,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Slopestyle,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Slopestyle,Woman,SILVER,People's Republic of China,CN,Ailing Eileen GU,79.38,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Big Air,Woman,SILVER,People's Republic of China,CN,Ailing Eileen GU,72.25,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Halfpipe,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,95.5,POINTS,Winter,2022,China,Beijing 2022,21,2003
Women's Freeski Halfpipe,Woman,GOLD,People's Republic of China,CN,Ailing Eileen GU,95.5,POINTS,Winter,2022,China,Beijing 2022,21,2003
Men's Marathon,Man,SILVER,Netherlands,NL,Abdi NAGEEYE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women's Freestyle 68kg,Woman,BRONZE,Poland,PL,Agnieszka Jadwiga WIESZCZEK-KORDUS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,41,1983
Men's 400m Freestyle,Man,GOLD,Tunisia,TN,Ahmed HAFNAOUI,03:46.3,TIME,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Women +78 kg,Woman,GOLD,Japan,JP,Akira SONE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,24,2000
Trap Men,Not Stated,GOLD,Spain,ES,Alberto FERNANDEZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,41,1983
Men's Super-G,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,01:20.3,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Super-G,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,01:20.3,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Alpine Combined,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,02:32.0,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Alpine Combined,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,02:32.0,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Downhill,Man,BRONZE,Norway,NO,Aleksander Aamodt KILDE,01:43.2,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Downhill,Man,SILVER,Norway,NO,Aleksander Aamodt KILDE,01:43.2,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Freeski Slopestyle,Man,GOLD,United States of America,US,Alexander HALL,79.13,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Freeski Big Air,Man,GOLD,United States of America,US,Alexander HALL,89.5,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Individual,Man,BRONZE,Hungary,HU,Adam MAROSI,1461,POINTS,Summer,2020,Japan,Tokyo 2020,40,1984
Women -49kg,Woman,SILVER,Spain,ES,Adriana CEREZO IGLESIAS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,21,2003
Individual Gundersen Large Hill/10km,Not Stated,BRONZE,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Large Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Large Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,27:14.1,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,BRONZE,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Individual Gundersen Normal Hill/10km,Not Stated,SILVER,Japan,JP,Akito WATABE,25:40.0,TIME,Winter,2022,China,Beijing 2022,36,1988
Men's Freestyle 97kg,Man,BRONZE,Romania,RO,Albert SARITOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,39,1985
Skeet women,Woman,GOLD,United States of America,US,Amber ENGLISH,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women,Woman,BRONZE,Japan,JP,Amuro TSUZUKI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,23,2001
Men's Welter (63-69kg),Man,BRONZE,ROC,ROC,Andrei ZAMKOVOI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,37,1987
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,61,1963
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,61,1963
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Skeet Men,Not Stated,BRONZE,Kuwait,KW,Abdullah ALRASHIDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Men's Freestyle 97kg,Man,BRONZE,Italy,IT,Abraham de Jesus CONYEDO RUANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Individual,Woman,BRONZE,Mexico,MX,Alejandra VALENCIA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 10m Platform,Man,BRONZE,ROC,ROC,Aleksandr BONDAR,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Individual Gundersen Normal Hill/10km,Not Stated,BRONZE,Italy,IT,Alessandro PITTIN,29:33.3,TIME,Winter,2022,China,Beijing 2022,34,1990
Individual Gundersen Large Hill/10km,Not Stated,BRONZE,Italy,IT,Alessandro PITTIN,31:32.2,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 200m Individual Medley,Woman,SILVER,United States of America,US,Alex WALSH,02:10.0,TIME,Summer,2020,Japan,Tokyo 2020,23,2001
Women +67kg,Woman,BRONZE,France,FR,Althea LAURIN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,23,2001
Women's 10km,Woman,GOLD,Brazil,BR,Ana Marcela CUNHA,59:31.2,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 3m Springboard,Woman,BRONZE,Australia,AU,Anabelle SMITH,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Freestyle 76kg,Woman,SILVER,United States of America,US,Adeline Maria GRAY,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's Foil Individual,Man,SILVER,Egypt,EG,Alaaeldin ABOUELKASSEM,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 400m Hurdles,Man,BRONZE,Brazil,BR,Alison DOS SANTOS,48042,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 400m,Woman,SILVER,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
Women's 400m,Woman,BRONZE,United States of America,US,Allyson FELIX,50084,TIME,Summer,2020,Japan,Tokyo 2020,39,1985
