ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,TotalProductCost,SalesAmount
381,2022-01-01,2022-01-13,2022-01-08,16942,SO46700,"605,6492","1000,4375"
375,2022-01-01,2022-01-13,2022-01-08,15114,SO46701,"1320,6838","2181,5625"
369,2022-01-01,2022-01-13,2022-01-08,15116,SO46702,"1518,7864","2443,35"
337,2022-01-01,2022-01-13,2022-01-08,20576,SO46703,"486,7066","782,99"
370,2022-01-01,2022-01-13,2022-01-08,13059,SO46704,"1518,7864","2443,35"
370,2022-01-01,2022-01-13,2022-01-08,13085,SO46705,"1518,7864","2443,35"
352,2022-01-01,2022-01-13,2022-01-08,20186,SO46706,"1117,8559","2071,4196"
337,2022-01-01,2022-01-13,2022-01-08,15199,SO46707,"486,7066","782,99"
377,2022-01-01,2022-01-13,2022-01-08,21200,SO46708,"1320,6838","2181,5625"
387,2022-01-02,2022-01-14,2022-01-09,19172,SO46709,"605,6492","1000,4375"
356,2022-01-02,2022-01-14,2022-01-09,11484,SO46710,"1117,8559","2071,4196"
369,2022-01-02,2022-01-14,2022-01-09,13592,SO46711,"1518,7864","2443,35"
373,2022-01-02,2022-01-14,2022-01-09,13779,SO46712,"1320,6838","2181,5625"
371,2022-01-02,2022-01-14,2022-01-09,24778,SO46713,"1320,6838","2181,5625"
368,2022-01-02,2022-01-14,2022-01-09,13093,SO46714,"1518,7864","2443,35"
375,2022-01-02,2022-01-14,2022-01-09,24976,SO46715,"1320,6838","2181,5625"
375,2022-01-02,2022-01-14,2022-01-09,25046,SO46716,"1320,6838","2181,5625"
368,2022-01-02,2022-01-14,2022-01-09,25048,SO46717,"1518,7864","2443,35"
360,2022-01-02,2022-01-14,2022-01-09,12570,SO46718,"1105,81","2049,0982"
362,2022-01-03,2022-01-15,2022-01-10,11604,SO46719,"1105,81","2049,0982"
371,2022-01-03,2022-01-15,2022-01-10,13667,SO46720,"1320,6838","2181,5625"
370,2022-01-03,2022-01-15,2022-01-10,16046,SO46721,"1518,7864","2443,35"
385,2022-01-03,2022-01-15,2022-01-10,17095,SO46722,"605,6492","1000,4375"
368,2022-01-03,2022-01-15,2022-01-10,12918,SO46723,"1518,7864","2443,35"
368,2022-01-03,2022-01-15,2022-01-10,28663,SO46724,"1518,7864","2443,35"
369,2022-01-03,2022-01-15,2022-01-10,21191,SO46725,"1518,7864","2443,35"
373,2022-01-03,2022-01-15,2022-01-10,20999,SO46726,"1320,6838","2181,5625"
370,2022-01-03,2022-01-15,2022-01-10,21002,SO46727,"1518,7864","2443,35"
358,2022-01-03,2022-01-15,2022-01-10,12354,SO46728,"1105,81","2049,0982"
321,2022-01-03,2022-01-15,2022-01-10,26019,SO46729,"486,7066","782,99"
379,2022-01-04,2022-01-16,2022-01-11,15100,SO46730,"1320,6838","2181,5625"
371,2022-01-04,2022-01-16,2022-01-11,15101,SO46731,"1320,6838","2181,5625"
385,2022-01-04,2022-01-16,2022-01-11,13992,SO46732,"605,6492","1000,4375"
375,2022-01-04,2022-01-16,2022-01-11,24781,SO46733,"1320,6838","2181,5625"
375,2022-01-04,2022-01-16,2022-01-11,13060,SO46734,"1320,6838","2181,5625"
371,2022-01-04,2022-01-16,2022-01-11,13226,SO46735,"1320,6838","2181,5625"
360,2022-01-04,2022-01-16,2022-01-11,12341,SO46736,"1105,81","2049,0982"
354,2022-01-04,2022-01-16,2022-01-11,12346,SO46737,"1117,8559","2071,4196"
362,2022-01-04,2022-01-16,2022-01-11,12576,SO46738,"1105,81","2049,0982"
373,2022-01-05,2022-01-17,2022-01-12,15699,SO46739,"1320,6838","2181,5625"
379,2022-01-05,2022-01-17,2022-01-12,12980,SO46740,"1320,6838","2181,5625"
